# ../water-data/level1//L100.runoff_B_bm3.csv
# Written by L100.water.supply.runoff.R
# Wed Mar 28 06:29:47 2018
# " Accessable freshwater runoff by basin ID / Historical and future years "
# " Unit = billion m^3 "
"basin.id","X1975","X1990","X2005","X2010","X2015","X2020","X2025","X2030","X2035","X2040","X2045","X2050","X2055","X2060","X2065","X2070","X2075","X2080","X2085","X2090","X2095","X2100"
44,21.8,19.93,18.92,22.66,21.81,20.74,21.59,26.28,21.16,19.82,20.57,22.66,17.73,21.88,20.94,19.05,21.04,26.06,20.93,19.04,20.17,21.55
45,40.71,49.64,44.13,49.69,48.34,46.26,42.04,48.54,41.59,50.23,45.49,42.05,44.34,48.72,47.66,45.89,41.75,47.81,42.04,49.81,45.56,42.3
46,12.43,12.89,12.53,12.84,13.11,11.95,12.44,13.61,12.28,12.61,11.75,13.64,12.01,12.2,12.86,11.18,12.07,13.73,12.59,11.98,11.44,13.05
47,39.95,41.7,37.08,38.46,35.86,37.83,39.29,37.95,35.1,41.02,39.39,34.84,35.95,37.07,34.03,36.07,37.01,35.2,33.23,38.67,36.36,31.94
48,586.69,584.07,604,631.86,621.63,572.79,620.59,595.68,590.44,625.47,619.23,635.67,631.36,659.43,648.02,610.02,654.61,627.58,624.4,655.5,647.56,665.69
49,6.92,7.17,7,6.64,6.88,8.14,7.13,8,6.85,6.95,7.58,6.92,6.68,6.25,6.2,7.56,6.74,7.24,6.29,6.56,6.95,6.93
50,23.59,20.53,21.5,24.49,23.4,21.36,21.98,24.25,21.62,19.43,24.01,22.85,20.41,23.39,22.12,20.06,20.64,22.88,20.3,18.09,22.28,20.46
51,109.73,128.87,139.15,120.97,125.69,117.72,111.38,119.84,106.1,132.03,110.24,127.63,139.82,121.63,126.5,119.22,112.89,121.54,108.38,134.11,112.5,133.54
52,21.29,22.74,22.26,19.5,20.68,21.89,21.62,27.32,19.31,23.23,20.25,19.96,21.89,19.03,20.03,21.32,21.16,26.16,18.92,22.45,19.51,18.63
53,77.41,74.72,67.51,72.04,66.77,68.74,76.71,72.69,67.38,75.01,71,69.36,66.06,70.56,64.16,67.13,73.15,70.25,65.58,72.34,68.09,64.66
54,185.99,175.57,191.22,178.54,198.73,187.91,178.16,196.64,169.76,172.3,190.89,184.97,181.22,167.87,186.84,174.22,165.56,181.22,156.28,158.87,176.13,172.08
55,65.24,56.43,69.46,71.4,72.24,69.56,62.19,73.91,64.93,55.96,72.06,69.48,66.22,68.03,68.75,65.46,56,69.37,60.35,49,67.24,64.06
56,444.12,450.74,485.49,504.73,485.41,497.13,466.62,488.72,522.35,482.69,495.96,488.46,503.55,523.23,506.94,518.95,493.57,514.22,546.2,508.51,523.4,535.84
57,35.69,26.48,27.95,31.98,31.8,28.58,33.89,32.08,28.31,25.68,30.07,31.59,26.57,30.68,30.05,26.81,32.01,30.1,26.49,23.96,28.23,29.92
